,,,,,,,,,,,,,,,,,,,,,,,,,
symbol,FSR,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of openInterest,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,
,2024,,,2024 Total,2025,2025 Total,2026,,2026 Total,Grand Total,,,,,,,,,,,,,,,
Row Labels,Qtr1,Qtr2,Qtr3,,Qtr1,,Qtr1,Qtr3,,,,,,,,,,,,,,,,,
calls,137541,60390,6336,204267,78968,78968,15482,8669,24151,307386,,,,,,,,,,,,,,,
1/26/2024,21782,,,21782,,,,,,21782,,,,,,,,,,,,,,,
2/2/2024,8278,,,8278,,,,,,8278,,,,,,,,,,,,,,,
2/9/2024,4767,,,4767,,,,,,4767,,,,,,,,,,,,,,,
2/16/2024,69901,,,69901,,,,,,69901,,,,,,,,,,,,,,,
2/23/2024,2397,,,2397,,,,,,2397,,,,,,,,,,,,,,,
3/1/2024,935,,,935,,,,,,935,,,,,,,,,,,,,,,
3/15/2024,29481,,,29481,,,,,,29481,,,,,,,,,,,,,,,
4/19/2024,,27540,,27540,,,,,,27540,,,,,,,,,,,,,,,
5/17/2024,,32850,,32850,,,,,,32850,,,,,,,,,,,,,,,
8/16/2024,,,6336,6336,,,,,,6336,,,,,,,,,,,,,,,
1/17/2025,,,,,78968,78968,,,,78968,,,,,,,,,,,,,,,
1/16/2026,,,,,,,15482,,15482,15482,,,,,,,,,,,,,,,
9/18/2026,,,,,,,,8669,8669,8669,,,,,,,,,,,,,,,
puts,125595,49980,1658,177233,74514,74514,25090,47728,72818,324565,,,,,,,,,,,,,,,
1/26/2024,9300,,,9300,,,,,,9300,,,,,,,,,,,,,,,
2/2/2024,4467,,,4467,,,,,,4467,,,,,,,,,,,,,,,
2/9/2024,2408,,,2408,,,,,,2408,,,,,,,,,,,,,,,
2/16/2024,89721,,,89721,,,,,,89721,,,,,,,,,,,,,,,
2/23/2024,8635,,,8635,,,,,,8635,,,,,,,,,,,,,,,
3/1/2024,609,,,609,,,,,,609,,,,,,,,,,,,,,,
3/15/2024,10455,,,10455,,,,,,10455,,,,,,,,,,,,,,,
4/19/2024,,22679,,22679,,,,,,22679,,,,,,,,,,,,,,,
5/17/2024,,27301,,27301,,,,,,27301,,,,,,,,,,,,,,,
8/16/2024,,,1658,1658,,,,,,1658,,,,,,,,,,,,,,,
1/17/2025,,,,,74514,74514,,,,74514,,,,,,,,,,,,,,,
1/16/2026,,,,,,,25090,,25090,25090,,,,,,,,,,,,,,,
9/18/2026,,,,,,,,47728,47728,47728,,,,,,,,,,,,,,,
Grand Total,263136,110370,7994,381500,153482,153482,40572,56397,96969,631951,,,,,,,,,,,,,,,
