,future price,20,,,,,,,return on $1000 invested,,,,,1000
,,strike,cmp,volume,future price,p/l,return,,,,,,,
,stock,0.9,90,,2000,1910,2122%,,23580.25,,,,,
18-Sep-26,call,0.5,80,,1950,1870,2338%,,29218.75,,,,,
,call,1,66,175,1900,1834,2779%,,42102.85,,,,,
,call,1.5,55,23,1850,1795,3264%,,59338.84,,,,,
,call,2,50,14,1800,1750,3500%,,70000.00,,,,,
,call,2.5,43,1,1750,1707,3970%,,92320.17,,,,,
,call,3,46,1,1700,1654,3596%,,78166.35,,,,,
,call,3.5,45,50,1650,1605,3567%,,79259.26,,,,,
,call,4,40,12,1600,1560,3900%,,97500.00,,,,,
,call,4.5,34,1,1550,1516,4459%,,131141.87,,,,,
,call,5,30,2,1500,1470,4900%,,163333.33,,,,,
,call,5.5,40,2,1450,1410,3525%,,88125.00,,,,,
,call,7,30,3,1300,1270,4233%,,141111.11,,,,,
,,,,,,,,,,,,,,
17-Jan-26,call,1,55,52,1900,1845,3355%,,60991.74,,,,,
,call,1.5,55,19,1850,1795,3264%,,59338.84,,,,,
,call,2,40,43,1800,1760,4400%,,110000.00,,,,,
,call,2.5,50,1,1750,1700,3400%,,68000.00,,,,,
,call,3,36,14,1700,1664,4622%,,128395.06,,,,,
,call,3.5,32,180,1650,1618,5056%,,158007.81,,,,,
,call,4,37,60,1600,1563,4224%,,114170.93,,,,,
,call,4.5,75,18,1550,1475,1967%,,26222.22,,,,,
,call,5,37,3,1500,1463,3954%,,106866.33,,,,,
,call,5.5,40,10,1450,1410,3525%,,88125.00,,,,,
,call,7,30,200,1300,1270,4233%,,141111.11,,,,,
